symbol,entry_time,entry_price,direction,exit_time,exit_price,exit_reason,R_outcome
BTCUSDT,2026-01-07T15:00:00+00:00,91614.4,SHORT,2026-01-07T16:00:00+00:00,91614.4,TP1,0.75
LINKUSDT,2026-01-07T19:00:00+00:00,13.336,SHORT,2026-01-07T23:15:00+00:00,13.448698842300477,SL,-1.0
ATOMUSDT,2026-01-07T19:15:00+00:00,2.422,LONG,2026-01-07T20:15:00+00:00,2.4028239590060956,SL,-1.0
SOLUSDT,2026-01-07T20:00:00+00:00,135.35,SHORT,2026-01-07T21:00:00+00:00,135.902963573462,SL,-1.0
APTUSDT,2026-01-07T21:45:00+00:00,1.8724,SHORT,2026-01-07T23:15:00+00:00,1.8898926360687478,SL,-1.0
ARBUSDT,2026-01-07T21:45:00+00:00,0.2112,SHORT,2026-01-07T22:30:00+00:00,0.2127788150333167,SL,-1.0
NEARUSDT,2026-01-07T21:45:00+00:00,1.7192,SHORT,2026-01-08T06:15:00+00:00,1.6870022172952837,TP2,2.0
TIAUSDT,2026-01-07T23:30:00+00:00,0.5635,SHORT,2026-01-08T02:15:00+00:00,0.5683947091007309,SL,-1.0
XRPUSDT,2026-01-07T23:30:00+00:00,2.1662,SHORT,2026-01-08T01:15:00+00:00,2.182446152739752,SL,-1.0
DOGEUSDT,2026-01-08T05:30:00+00:00,0.14606,SHORT,2026-01-08T06:15:00+00:00,0.14329664402408854,TP2,2.0
DOTUSDT,2026-01-08T11:00:00+00:00,2.1164,SHORT,2026-01-08T14:45:00+00:00,2.1164,TP1,0.75
SUIUSDT,2026-01-08T11:30:00+00:00,1.782,SHORT,2026-01-08T12:45:00+00:00,1.7417609150699378,TP2,2.0
BNBUSDT,2026-01-08T12:00:00+00:00,883.4,SHORT,2026-01-08T15:15:00+00:00,887.8310943987973,SL,-1.0
ARBUSDT,2026-01-09T00:15:00+00:00,0.2088,SHORT,2026-01-09T01:15:00+00:00,0.2099270171328784,SL,-1.0
SOLUSDT,2026-01-09T00:30:00+00:00,138.95,LONG,2026-01-09T01:15:00+00:00,138.39797376124645,SL,-1.0
ADAUSDT,2026-01-09T03:15:00+00:00,0.3947,SHORT,2026-01-09T06:45:00+00:00,0.39863337442832564,SL,-1.0
